
Analyzing odd numbers 1 to 65535 (k=16):

Decimal  Binary             Win After  Max Bits   Head Grow  Extra Zeros  End Dec  End Bin           
231      0000000011100111   3          10         2          1            391      0000000110000111  
233      0000000011101001   1          8          0          1            175      0000000010101111  
235      0000000011101011   2          9          1          1            265      0000000100001001  
237      0000000011101101   1          8          0          2            89       0000000001011001  
239      0000000011101111   4          10         2          1            607      0000001001011111  
241      0000000011110001   1          8          0          1            181      0000000010110101  
243      0000000011110011   2          9          1          2            137      0000000010001001  
245      0000000011110101   1          8          0          4            23       0000000000010111  
247      0000000011110111   3          10         2          2            209      0000000011010001  
249      0000000011111001   1          8          0          1            187      0000000010111011  
251      0000000011111011   2          9          1          1            283      0000000100011011  
253      0000000011111101   1          8          0          2            95       0000000001011111  
255      0000000011111111   8          13         5          5            205      0000000011001101  
257      0000000100000001   1          9          0          1            193      0000000011000001  
259      0000000100000011   2          9          0          3            73       0000000001001001  
261      0000000100000101   1          9          0          3            49       0000000000110001  
263      0000000100000111   3          10         1          1            445      0000000110111101  
265      0000000100001001   1          9          0          1            199      0000000011000111  
267      0000000100001011   2          9          0          1            301      0000000100101101  
269      0000000100001101   1          9          0          2            101      0000000001100101  
271      0000000100001111   4          10         1          5            43       0000000000101011  
273      0000000100010001   1          9          0          1            205      0000000011001101  
275      0000000100010011   2          9          0          2            155      0000000010011011  
277      0000000100010101   1          9          0          5            13       0000000000001101  
279      0000000100010111   3          10         1          4            59       0000000000111011  
281      0000000100011001   1          9          0          1            211      0000000011010011  
283      0000000100011011   2          9          0          1            319      0000000100111111  
285      0000000100011101   1          9          0          2            107      0000000001101011  
287      0000000100011111   5          11         2          1            1093     0000010001000101  
289      0000000100100001   1          9          0          1            217      0000000011011001  
291      0000000100100011   2          9          0          4            41       0000000000101001  
293      0000000100100101   1          9          0          3            55       0000000000110111  
295      0000000100100111   3          10         1          1            499      0000000111110011  
297      0000000100101001   1          9          0          1            223      0000000011011111  
299      0000000100101011   2          9          0          1            337      0000000101010001  
301      0000000100101101   1          9          0          2            113      0000000001110001  
303      0000000100101111   4          11         2          1            769      0000001100000001  
305      0000000100110001   1          9          0          1            229      0000000011100101  
307      0000000100110011   2          9          0          2            173      0000000010101101  
309      0000000100110101   1          9          0          4            29       0000000000011101  
311      0000000100110111   3          10         1          2            263      0000000100000111  
313      0000000100111001   1          9          0          1            235      0000000011101011  
315      0000000100111011   2          9          0          1            355      0000000101100011  
317      0000000100111101   1          9          0          2            119      0000000001110111  
319      0000000100111111   6          12         3          2            911      0000001110001111  
321      0000000101000001   1          9          0          1            241      0000000011110001  
323      0000000101000011   2          9          0          3            91       0000000001011011  
325      0000000101000101   1          9          0          3            61       0000000000111101  
327      0000000101000111   3          10         1          1            553      0000001000101001  
329      0000000101001001   1          9          0          1            247      0000000011110111  
331      0000000101001011   2          9          0          1            373      0000000101110101  
333      0000000101001101   1          9          0          2            125      0000000001111101  
335      0000000101001111   4          11         2          2            425      0000000110101001  
337      0000000101010001   1          9          0          1            253      0000000011111101  
339      0000000101010011   2          9          0          2            191      0000000010111111  
341      0000000101010101   1          9          0          9            1        0000000000000001  
343      0000000101010111   3          10         1          3            145      0000000010010001  
345      0000000101011001   1          9          0          1            259      0000000100000011  
347      0000000101011011   2          10         1          1            391      0000000110000111  
349      0000000101011101   1          9          0          2            131      0000000010000011  
351      0000000101011111   5          11         2          4            167      0000000010100111  
353      0000000101100001   1          9          0          1            265      0000000100001001  
